Gen A	Gen B	Winner	Strength
hsa:196528	hsa:4893	Gen A	11
hsa:196528	hsa:5604	Gen A	17
hsa:196528	hsa:5605	Gen A	17
hsa:196528	hsa:5594	Gen A	19
hsa:196528	hsa:5595	Gen A	19
hsa:196528	hsa:369	Gen A	14
hsa:196528	hsa:5894	Gen A	14
hsa:196528	hsa:673	Gen A	14
hsa:196528	hsa:3480	Gen B	3
hsa:196528	hsa:25759	Gen A	4
hsa:196528	hsa:399694	Gen A	4
hsa:196528	hsa:53358	Gen A	4
hsa:196528	hsa:6464	Gen A	4
hsa:196528	hsa:3481	Gen B	4
hsa:196528	hsa:5335	Gen A	19
hsa:196528	hsa:5336	Gen A	19
hsa:6602	hsa:6603	Draw	0
hsa:6602	hsa:6604	Draw	0
hsa:6602	hsa:51412	Draw	0
hsa:6602	hsa:86	Draw	0
hsa:6602	hsa:60	Draw	0
hsa:6602	hsa:71	Draw	0
hsa:6602	hsa:29117	Draw	0
hsa:6602	hsa:6605	Gen B	8
hsa:6602	hsa:55193	Draw	0
hsa:6602	hsa:57492	Draw	0
hsa:6602	hsa:8289	Draw	0
hsa:6602	hsa:5290	Gen A	15
hsa:6602	hsa:5291	Gen A	15
