Gen A	Gen B	Winner	Strength
hsa:7157	hsa:51426	Gen A	7
hsa:7157	hsa:1643	Gen A	7
hsa:7157	hsa:578	Gen A	7
hsa:7157	hsa:581	Gen A	7
hsa:7157	hsa:10912	Gen A	5
hsa:7157	hsa:1647	Gen A	5
hsa:7157	hsa:4616	Gen A	5
hsa:7157	hsa:1026	Gen A	7
hsa:7157	hsa:6774	Gen A	6
hsa:7157	hsa:6776	Gen A	6
hsa:7157	hsa:6777	Gen A	6
hsa:7157	hsa:3718	Gen A	5
hsa:7157	hsa:238	Gen B	24
hsa:7157	hsa:27436	Gen B	24
hsa:7157	hsa:3265	Gen B	18
hsa:7157	hsa:3845	Gen B	14
hsa:7157	hsa:4893	Gen B	18
hsa:7157	hsa:5290	Gen A	3
hsa:7157	hsa:5291	Gen A	3
hsa:7157	hsa:5293	Gen A	3
hsa:7157	hsa:83593	Gen B	16
hsa:7157	hsa:369	Gen B	6
hsa:7157	hsa:5894	Gen B	6
hsa:7157	hsa:673	Gen B	6
hsa:7157	hsa:5295	Gen A	3
hsa:7157	hsa:5296	Gen A	3
hsa:7157	hsa:8503	Gen A	3
hsa:7157	hsa:5604	Gen B	3
hsa:7157	hsa:5605	Gen B	3
hsa:7157	hsa:5594	Gen B	1
hsa:7157	hsa:5595	Gen B	1
hsa:7157	hsa:595	Gen A	1
hsa:7157	hsa:10000	Gen A	3
hsa:7157	hsa:207	Gen A	3
hsa:7157	hsa:208	Gen A	3
hsa:7157	hsa:2309	Gen A	8
hsa:7157	hsa:842	Gen A	8
hsa:7157	hsa:572	Gen A	8
hsa:7157	hsa:1019	Gen A	1
hsa:7157	hsa:1021	Gen A	1
hsa:7157	hsa:1029	Gen A	1
hsa:7157	hsa:11186	Gen B	18
hsa:7157	hsa:6789	Gen B	18
hsa:7157	hsa:6654	Gen B	20
hsa:7157	hsa:6655	Gen B	20
hsa:7157	hsa:2885	Gen B	21
hsa:7157	hsa:5170	Gen A	2
hsa:7157	hsa:6256	Gen A	5
hsa:7157	hsa:6257	Gen A	5
hsa:7157	hsa:6258	Gen A	5
hsa:7157	hsa:5915	Gen A	5
hsa:7157	hsa:1950	Gen B	26
hsa:7157	hsa:2064	Gen B	24
hsa:7157	hsa:1956	Gen B	24
hsa:7157	hsa:5335	Gen A	7
hsa:7157	hsa:5336	Gen A	7
hsa:7157	hsa:5925	Gen A	1
hsa:7157	hsa:7039	Gen B	26
hsa:7157	hsa:1869	Gen A	1
hsa:7157	hsa:1870	Gen A	1
hsa:7157	hsa:1871	Gen A	1
hsa:7157	hsa:5578	Gen B	9
hsa:7157	hsa:5579	Gen B	9
hsa:7157	hsa:5582	Gen B	9
hsa:51426	hsa:1643	Draw	0
hsa:51426	hsa:578	Draw	0
hsa:51426	hsa:581	Draw	0
hsa:51426	hsa:10912	Gen B	2
hsa:51426	hsa:1647	Gen B	2
hsa:51426	hsa:4616	Gen B	2
hsa:51426	hsa:1026	Draw	0
hsa:51426	hsa:6774	Gen B	2
hsa:51426	hsa:6776	Gen B	2
hsa:51426	hsa:6777	Gen B	2
hsa:51426	hsa:3718	Gen B	3
hsa:51426	hsa:238	Gen B	32
hsa:51426	hsa:27436	Gen B	32
hsa:51426	hsa:3265	Gen B	26
hsa:51426	hsa:3845	Gen B	22
hsa:51426	hsa:4893	Gen B	26
hsa:51426	hsa:5290	Gen B	5
hsa:51426	hsa:5291	Gen B	5
hsa:51426	hsa:5293	Gen B	5
hsa:51426	hsa:83593	Gen B	24
hsa:51426	hsa:369	Gen B	14
hsa:51426	hsa:5894	Gen B	14
hsa:51426	hsa:673	Gen B	14
hsa:51426	hsa:5295	Gen B	5
hsa:51426	hsa:5296	Gen B	5
hsa:51426	hsa:8503	Gen B	5
hsa:51426	hsa:5604	Gen B	11
hsa:51426	hsa:5605	Gen B	11
hsa:51426	hsa:5594	Gen B	9
hsa:51426	hsa:5595	Gen B	9
hsa:51426	hsa:595	Gen B	7
hsa:51426	hsa:10000	Gen B	5
hsa:51426	hsa:207	Gen B	5
hsa:51426	hsa:208	Gen B	5
hsa:51426	hsa:2309	Draw	0
hsa:51426	hsa:842	Draw	0
hsa:51426	hsa:572	Draw	0
hsa:51426	hsa:1019	Gen B	7
hsa:51426	hsa:1021	Gen B	7
hsa:51426	hsa:1029	Gen B	7
hsa:51426	hsa:11186	Gen B	26
hsa:51426	hsa:6789	Gen B	26
hsa:51426	hsa:6654	Gen B	28
hsa:51426	hsa:6655	Gen B	28
hsa:51426	hsa:2885	Gen B	29
hsa:51426	hsa:5170	Gen B	6
hsa:51426	hsa:6256	Gen B	3
hsa:51426	hsa:6257	Gen B	3
hsa:51426	hsa:6258	Gen B	3
hsa:51426	hsa:5915	Gen B	3
hsa:51426	hsa:1950	Gen B	34
hsa:51426	hsa:2064	Gen B	32
hsa:51426	hsa:1956	Gen B	32
hsa:51426	hsa:5335	Gen B	1
hsa:51426	hsa:5336	Gen B	1
hsa:51426	hsa:5925	Gen B	7
hsa:51426	hsa:7039	Gen B	34
hsa:51426	hsa:1869	Gen B	7
hsa:51426	hsa:1870	Gen B	7
hsa:51426	hsa:1871	Gen B	7
hsa:51426	hsa:5578	Gen B	17
hsa:51426	hsa:5579	Gen B	17
hsa:51426	hsa:5582	Gen B	17
hsa:1643	hsa:578	Draw	0
hsa:1643	hsa:581	Draw	0
hsa:1643	hsa:10912	Gen B	2
hsa:1643	hsa:1647	Gen B	2
hsa:1643	hsa:4616	Gen B	2
hsa:1643	hsa:1026	Draw	0
hsa:1643	hsa:6774	Gen B	2
hsa:1643	hsa:6776	Gen B	2
hsa:1643	hsa:6777	Gen B	2
hsa:1643	hsa:3718	Gen B	3
hsa:1643	hsa:238	Gen B	32
hsa:1643	hsa:27436	Gen B	32
hsa:1643	hsa:3265	Gen B	26
hsa:1643	hsa:3845	Gen B	22
hsa:1643	hsa:4893	Gen B	26
hsa:1643	hsa:5290	Gen B	5
hsa:1643	hsa:5291	Gen B	5
hsa:1643	hsa:5293	Gen B	5
hsa:1643	hsa:83593	Gen B	24
hsa:1643	hsa:369	Gen B	14
hsa:1643	hsa:5894	Gen B	14
hsa:1643	hsa:673	Gen B	14
hsa:1643	hsa:5295	Gen B	5
hsa:1643	hsa:5296	Gen B	5
hsa:1643	hsa:8503	Gen B	5
hsa:1643	hsa:5604	Gen B	11
hsa:1643	hsa:5605	Gen B	11
hsa:1643	hsa:5594	Gen B	9
hsa:1643	hsa:5595	Gen B	9
hsa:1643	hsa:595	Gen B	7
hsa:1643	hsa:10000	Gen B	5
hsa:1643	hsa:207	Gen B	5
hsa:1643	hsa:208	Gen B	5
hsa:1643	hsa:2309	Draw	0
hsa:1643	hsa:842	Draw	0
hsa:1643	hsa:572	Draw	0
hsa:1643	hsa:1019	Gen B	7
hsa:1643	hsa:1021	Gen B	7
